Name,vf1,consistency vf1,vf2,consistency vf2,vf3,consistency vf3,vf4,consistency vf4,mu,sigma,df+,df-
Luis Barragan,0.15,0.09,0.86,0.2,0.12,0.08,0.4,0.13,0.39,0.3,vf2,
SANAA,0.41,0.29,0.1,0.08,0.61,0.26,0.47,0.2,0.4,0.19,vf3,vf2
