Name,vf1,consistency vf1,vf2,consistency vf2,vf3,consistency vf3,vf4,consistency vf4,mu,sigma,df+,df-
21st Century Museum of Contemporary Art,0.36,0.05,0.22,0.17,0.74,0.20,0.65,0.06,0.49,0.21,vf3,vf2
Dior Building Omotesando,0.12,0.04,0.01,0.02,0.96,0.03,0.68,0.14,0.44,0.39,vf3,vf2
