image_path,curvature_score,saturation_score,transparency_score,symmetry_score,design_metric,std_dev
C:\Users\designIT_RA\Desktop\test\AA (1).jpg,0.05560068413615227,0.32084953784942627,0.09601737558841705,0.23403818905353546,0.17662644665688276,0.10635020654704617
C:\Users\designIT_RA\Desktop\test\AA (10).jpg,0.09896324574947357,0.0026892395690083504,0.32760652899742126,0.40674689412117004,0.2090014771092683,0.16419771618559645
C:\Users\designIT_RA\Desktop\test\AA (100).jpg,0.13378790020942688,0.4048038423061371,0.5255433917045593,0.5373861193656921,0.40038031339645386,0.16242495914863178
C:\Users\designIT_RA\Desktop\test\AA (101).jpg,0.15386177599430084,0.7761354446411133,0.20289410650730133,0.723341166973114,0.46405812352895737,0.2868136889955452
C:\Users\designIT_RA\Desktop\test\AA (102).jpg,0.14393508434295654,0.44811350107192993,0.41827309131622314,0.3426256477832794,0.33823683112859726,0.11858658867915574
C:\Users\designIT_RA\Desktop\test\AA (103).jpg,0.41888168454170227,0.2956511676311493,0.3355013430118561,0.5251999497413635,0.3938085362315178,0.08793031914818027
C:\Users\designIT_RA\Desktop\test\AA (104).jpg,0.11562033742666245,0.09541168063879013,0.05142665281891823,0.1953996866941452,0.114464589394629,0.05217427648798151
C:\Users\designIT_RA\Desktop\test\AA (106).jpg,0.11161040514707565,0.3367356061935425,0.32382932305336,0.2679072916507721,0.26002065651118755,0.08950493164407229
C:\Users\designIT_RA\Desktop\test\AA (107).jpg,0.0872393324971199,0.14144325256347656,0.6258236765861511,0.2781139612197876,0.2831550557166338,0.20970956232363813
C:\Users\designIT_RA\Desktop\test\AA (108).jpg,0.3869299292564392,0.5150258541107178,0.3274897336959839,0.7747482061386108,0.5010484308004379,0.17193937094060535
C:\Users\designIT_RA\Desktop\test\AA (109).jpg,0.08989179879426956,0.06039893254637718,0.3157821297645569,0.5011663436889648,0.24180980119854212,0.17939251952471602
C:\Users\designIT_RA\Desktop\test\AA (11).jpg,0.1684892177581787,0.6334776282310486,0.11052308976650238,0.1448831558227539,0.2643432728946209,0.21411418710826485
C:\Users\designIT_RA\Desktop\test\AA (110).jpg,0.10553167015314102,0.49709421396255493,0.6934316158294678,0.7574339509010315,0.5133728627115488,0.2542569576703711
C:\Users\designIT_RA\Desktop\test\AA (111).jpg,0.11461043357849121,0.4599742889404297,0.843898594379425,0.5939502120018005,0.5031083822250366,0.2632401056276772
C:\Users\designIT_RA\Desktop\test\AA (112).jpg,0.10783428698778152,0.4804048538208008,0.17319586873054504,0.457522988319397,0.3047394994646311,0.1660395289343564
C:\Users\designIT_RA\Desktop\test\AA (113).jpg,0.2572151720523834,0.37810832262039185,0.1745913326740265,0.5907464623451233,0.35016532242298126,0.15662539104225134
C:\Users\designIT_RA\Desktop\test\AA (114).jpg,0.020116733387112617,0.9137022495269775,0.16734567284584045,0.6912104487419128,0.44809377612546086,0.3667017908374434
C:\Users\designIT_RA\Desktop\test\AA (115).jpg,0.032677292823791504,0.22877545654773712,0.005049386993050575,0.3146561086177826,0.14528956124559045,0.13038764469521646
C:\Users\designIT_RA\Desktop\test\AA (116).jpg,0.11313274502754211,0.9057577252388,0.12640893459320068,0.4335261285305023,0.3947063833475113,0.32169383016689024
C:\Users\designIT_RA\Desktop\test\AA (117).jpg,0.06821782886981964,0.9745663404464722,0.024193376302719116,0.7781093716621399,0.4612717293202877,0.42112536872996653
C:\Users\designIT_RA\Desktop\test\AA (118).jpg,0.33627188205718994,0.16013208031654358,0.5006828308105469,0.43773990869522095,0.35870667546987534,0.128781472304006
C:\Users\designIT_RA\Desktop\test\AA (119).jpg,0.13906195759773254,0.3343470096588135,0.1387416571378708,0.37450069189071655,0.24666282907128334,0.10869218185878828
C:\Users\designIT_RA\Desktop\test\AA (12).jpg,0.30340033769607544,5.216646968619898e-06,0.13560189306735992,0.1913822740316391,0.15759743036051077,0.10922340973131055
C:\Users\designIT_RA\Desktop\test\AA (120).jpg,0.4032464623451233,0.45522889494895935,0.34363463521003723,0.18945898115634918,0.34789224341511726,0.09962990531641595
C:\Users\designIT_RA\Desktop\test\AA (121).jpg,0.1945076286792755,0.13703367114067078,0.24143420159816742,0.29565155506134033,0.2171567641198635,0.058488288443537075
C:\Users\designIT_RA\Desktop\test\AA (122).jpg,0.12394062429666519,0.07102809101343155,0.009685380384325981,0.22104443609714508,0.10642463294789195,0.07754983461358775
C:\Users\designIT_RA\Desktop\test\AA (123).jpg,0.39386576414108276,0.39214038848876953,0.43580162525177,0.49096447229385376,0.428193062543869,0.04023772741668482
C:\Users\designIT_RA\Desktop\test\AA (124).jpg,0.4084620177745819,0.04783424735069275,0.33813902735710144,0.1161654070019722,0.22765017487108707,0.14971917906090426
C:\Users\designIT_RA\Desktop\test\AA (125).jpg,0.0631277933716774,0.20194904506206512,0.023563237860798836,0.16361476480960846,0.11306371027603745,0.07238774449813713
C:\Users\designIT_RA\Desktop\test\AA (126).jpg,0.20605559647083282,0.024174518883228302,0.16905513405799866,0.6237668395042419,0.25576302222907543,0.22307461221397581
C:\Users\designIT_RA\Desktop\test\AA (127).jpg,0.25642845034599304,0.0333077646791935,0.21998649835586548,0.3460067808628082,0.21393237356096506,0.11392044084247714
C:\Users\designIT_RA\Desktop\test\AA (128).jpg,0.1382085233926773,0.0009861895814538002,0.3814544379711151,0.6169750690460205,0.2844060549978167,0.23543633752184018
C:\Users\designIT_RA\Desktop\test\AA (129).jpg,0.13346660137176514,0.5828397870063782,0.40991589426994324,0.7158079147338867,0.4605075493454933,0.21774913900714085
C:\Users\designIT_RA\Desktop\test\AA (13).jpg,0.7209898829460144,0.083291195333004,0.05081693455576897,0.1723165214061737,0.25685363356024027,0.27163579597748394
C:\Users\designIT_RA\Desktop\test\AA (14).jpg,0.5347985029220581,7.202096639957745e-06,0.14627555012702942,0.3348187804222107,0.25397500889198454,0.20093305508377157
C:\Users\designIT_RA\Desktop\test\AA (15).jpg,0.03933601453900337,0.20268134772777557,0.18086160719394684,0.6033043265342712,0.25654582399874926,0.2097921846039071
C:\Users\designIT_RA\Desktop\test\AA (16).jpg,0.07918945699930191,0.05271468684077263,0.6562612056732178,0.21751762926578522,0.2514207446947694,0.24196742237858612
C:\Users\designIT_RA\Desktop\test\AA (17).jpg,0.19113504886627197,0.9984514713287354,0.32953205704689026,0.5065838098526001,0.5064255967736244,0.305282221992975
C:\Users\designIT_RA\Desktop\test\AA (18).jpg,0.35723721981048584,0.3478793203830719,0.04916046932339668,0.3351302444934845,0.27235181350260973,0.12909826103963545
