Style,curvature,c-std.dev,c-classification,saturation,s-std.dev,s-classification,transparency,t-std.dev,t-classification,symmetry,sm-std.dev,sm-classification,combination
Alvar Aalto,0.231280703,0.162965053,rectilinear,0.363356302,0.327133631,muted,0.30858507,0.245623951,opaque,0.346114353,0.194460272,regular,type 24
Aldo Rossi,0.215355523,0.191180861,rectilinear,0.63604224,0.364980166,muted,0.184563592,0.192108371,opaque,0.471404931,0.271170842,regular,type 24
Alvaro Siza,0.292122966,0.223182889,rectilinear,0.412326587,0.356180726,muted,0.234520788,0.216737809,opaque,0.450705568,0.244432915,regular,type 24
Antoni Gaudi,0.572461765,0.288703515,moderate,0.659320103,0.35479474,muted,0.233497851,0.267119138,opaque,0.443722811,0.235065336,regular,type 15
Bjarke Ingels,0.514663183,0.285505918,moderate,0.395825352,0.340718619,muted,0.378822632,0.261920953,translucent,0.475967345,0.2162017,regular,type 14
Christian de Portzamparc,0.489435705,0.247384348,moderate,0.394383059,0.332321953,muted,0.471825242,0.302661434,translucent,0.294520307,0.18440325,regular,type 14
David Chipperfield,0.239064586,0.179787754,rectilinear,0.194357547,0.262753948,greyscale,0.477850619,0.285844295,translucent,0.493619661,0.214959003,regular,type 26
Daniel Libeskind,0.479190008,0.248700136,moderate,0.389570054,0.333069103,muted,0.430755279,0.276882647,translucent,0.269294832,0.189044998,regular,type 14
Frida Escobedo,0.269189006,0.202649588,rectilinear,0.437736262,0.37617802,muted,0.422356727,0.305965713,translucent,0.57138331,0.272870842,regular,type 23
Frank Gehry,0.628441923,0.282276353,moderate,0.397612397,0.33905949,muted,0.360825137,0.285086928,opaque,0.260468281,0.214047548,asymmetric,type 15
Frank Lloyd Wright,0.45875736,0.231326474,moderate,0.516172415,0.34715647,muted,0.171612988,0.170956324,opaque,0.595323811,0.227685449,regular,type 15
Leoh Ming Pei,0.345738219,0.214720771,moderate,0.456654371,0.353526472,muted,0.332761534,0.295827677,translucent,0.395797408,0.229703279,regular,type 14
Jean Nouvel,0.412704436,0.296889226,moderate,0.550925305,0.386441717,muted,0.532845748,0.338799133,translucent,0.352835413,0.236216491,regular,type 14
Luis Barragan,0.155447234,0.130776481,rectilinear,0.906477584,0.215505713,colorful,0.145869784,0.170715436,opaque,0.446600772,0.240564503,regular,type 21
Le Corbusier,0.246924024,0.169414127,rectilinear,0.413942334,0.340887834,muted,0.200698687,0.221364659,opaque,0.335134763,0.178513172,regular,type 24
Louis Kahn,0.355720224,0.198802793,moderate,0.463182233,0.336527447,muted,0.202933209,0.249678314,opaque,0.613655316,0.223123121,regular,type 15
Mario Bota,0.491305386,0.269746963,moderate,0.565653252,0.327795014,muted,0.245223895,0.224497124,opaque,0.355665258,0.239832104,regular,type 15
Mies Van Der Rohe,0.214116727,0.148334613,rectilinear,0.224056839,0.257099977,greyscale,0.438697364,0.287650577,translucent,0.55056179,0.232414012,regular,type 26
Norman Foster,0.572247707,0.243156438,moderate,0.430258385,0.337323895,muted,0.381429923,0.282137793,translucent,0.516444535,0.237403626,regular,type 14
Oscar Niemeyer,0.700541219,0.249193761,curvilinear,0.737410654,0.306394794,colorful,0.253811567,0.278743603,opaque,0.463451727,0.2120928,regular,type 3
Peter Zumthor,0.353755366,0.221743739,moderate,0.320602303,0.308191887,greyscale,0.256128947,0.292713268,opaque,0.46652433,0.228282224,regular,type 18
Richard Meier,0.361960373,0.215262678,moderate,0.405493267,0.318523477,muted,0.479333516,0.311034021,translucent,0.36549507,0.188536129,regular,type 14
Richard Rogers,0.457539712,0.217810445,moderate,0.276627978,0.272857296,greyscale,0.481154789,0.271579153,translucent,0.416691813,0.207829334,regular,type 17
Rem Koolhaas,0.495861257,0.28173317,moderate,0.472409286,0.347978074,muted,0.495682403,0.293525535,translucent,0.465152142,0.242616057,regular,type 14
Renzo Piano,0.423706094,0.215035317,moderate,0.704569174,0.325831142,colorful,0.33789612,0.26234798,translucent,0.456298028,0.199283183,regular,type 11
Robert Venturi,0.33162168,0.176984274,rectilinear,0.533954105,0.335575152,muted,0.228625609,0.242239759,opaque,0.52860546,0.251730052,regular,type 24
Shigeru Ban,0.558361805,0.284153354,moderate,0.670177863,0.300685846,colorful,0.371232297,0.311514927,translucent,0.690696481,0.229832202,symmetric,type 11
SANAA,0.487510711,0.290987528,moderate,0.382083578,0.320255602,muted,0.552433912,0.347950412,translucent,0.470005464,0.260652675,regular,type 14
Tadao Ando,0.37604443,0.289128221,rectilinear,0.304569866,0.325725233,greyscale,0.411921916,0.320499281,opaque,0.487000863,0.252490525,regular,type 27
Zaha Hadid,0.790715926,0.212176723,curvilinear,0.415340839,0.308861893,muted,0.275908101,0.226469896,opaque,0.345928781,0.19193297,regular,type 6
